id,label
4567,4
3643,3
9252,9
4203,4
5955,5
9271,9
7476,7
3038,3
2118,2
6700,6
8900,4
2834,2
6992,7
821,0
815,0
562,0
4847,4
4692,4
5334,5
8291,8
1864,1
2688,2
4511,4
9863,9
5331,5
5050,5
6981,8
7094,2
7261,7
4325,4
4707,4
161,0
2508,0
8386,8
9907,9
7217,7
5824,5
1932,1
476,0
2291,2
1328,1
4573,4
241,0
9891,5
840,0
4266,8
8813,8
7492,7
9284,9
1549,1
5449,5
9926,9
9446,9
3498,3
7612,7
2372,2
9477,9
8342,8
3754,3
9635,9
7171,3
6017,6
269,1
4971,6
8082,8
8444,2
9432,2
7189,7
4826,4
7846,7
2305,2
6953,6
6519,6
7727,7
6034,6
2181,2
4439,2
9030,9
8505,8
1131,1
5147,5
4154,4
7429,7
5279,5
4345,4
1963,1
6179,6
4999,5
6238,6
8910,8
1477,1
871,0
7955,7
7404,8
5634,5
6931,6
6598,6
5941,5
8556,8
4216,4
9273,9
9766,9
5268,5
8178,8
3968,3
427,0
3978,3
7305,7
1748,1
5366,5
9733,9
5867,5
5951,5
7994,8
3752,3
5742,5
7121,7
8417,8
6900,6
8061,8
2487,2
4860,3
7650,3
9345,9
776,0
7952,7
6632,6
4863,4
5184,5
8913,8
9972,9
6432,6
2494,2
9466,9
7643,3
1171,1
9745,9
7176,7
3156,3
5081,5
7600,7
8852,4
2639,2
5795,5
1955,1
201,0
105,0
1615,1
8172,8
9357,9
7905,7
9826,9
564,0
8216,6
3158,3
2754,0
3380,9
1573,1
9371,3
8341,8
458,0
8360,8
1664,1
2553,2
1512,1
3263,3
3091,3
1970,1
7065,7
71,0
6979,6
2009,2
6989,6
4566,4
9447,9
9987,0
6074,6
6578,9
8902,8
2573,2
2810,2
3052,3
5558,2
6523,6
6355,6
2954,2
2175,2
5020,1
5230,5
3901,3
5175,5
7924,7
7382,7
6101,6
7200,7
2514,2
5717,5
3909,3
4564,4
1929,1
5738,5
1571,2
1784,1
8078,8
4240,4
474,0
6467,6
5972,5
9461,9
4612,4
1142,1
4248,4
5213,5
7060,9
3729,3
2743,2
6400,6
9729,9
6776,6
6549,6
7034,7
2680,0
4295,4
681,0
3098,3
3448,3
1409,1
4118,4
3785,3
6763,6
1294,1
8484,8
6778,6
8305,8
6929,6
702,0
9091,9
6664,6
3301,3
3500,3
4383,4
3881,3
6666,6
9630,9
1230,1
4238,4
8340,8
5055,5
6670,6
8292,8
7672,4
5821,5
7278,7
2775,8
1164,1
4083,3
646,0
3020,3
2424,2
5931,5
9609,9
8317,8
5706,5
8755,8
8672,8
5898,5
2879,2
8170,8
5146,5
8055,0
1778,1
5529,5
7622,2
9666,9
8455,8
7829,7
504,0
6868,6
1178,1
5004,5
9530,9
475,0
4674,4
1797,1
191,0
6926,6
9197,9
4593,4
330,0
3172,3
3595,9
8173,8
8617,8
5421,5
9094,9
8124,8
3548,3
6846,6
6234,6
5425,5
6020,9
9106,9
87,0
6986,6
8914,8
3915,3
9898,9
3674,3
686,0
5619,5
5745,5
4130,4
6162,6
1910,1
5157,5
2123,2
2666,0
6927,6
1014,1
9581,2
7894,7
4513,4
8763,8
9032,9
339,0
7943,7
6282,6
1319,1
6974,6
4745,4
6644,6
7785,7
3034,3
9726,9
4304,4
2116,2
9596,9
5562,5
9659,9
276,0
8575,8
1401,1
1799,1
2921,2
5141,5
4012,4
5079,8
1641,1
4804,4
7509,7
2617,2
1094,1
6828,6
166,0
6335,6
8083,8
2214,2
8734,8
4790,4
5934,1
5999,6
205,0
9358,9
2773,2
3790,3
1998,2
4228,4
2364,2
484,0
6466,6
8548,8
1587,1
2130,2
8633,7
3768,3
3962,3
6557,6
2969,2
2213,2
7425,7
4032,4
5180,5
9400,9
3060,3
2859,0
6267,6
6788,6
20,0
1690,1
4727,4
555,6
7673,7
1318,1
7599,7
9296,9
775,0
8741,8
7585,7
9900,9
3781,3
9281,9
769,0
3996,4
4446,4
7838,4
3561,3
1421,1
9300,9
3842,3
5066,1
8651,8
5929,5
2629,2
413,0
1295,1
7881,7
4661,4
7049,7
3470,1
8349,8
4265,4
4516,7
7797,7
3808,3
8326,8
3103,3
7117,3
308,0
7116,2
614,0
699,0
4132,9
980,0
9054,9
8592,8
831,0
1580,1
2290,2
3773,2
1525,1
9044,9
9930,9
2333,2
2684,2
1447,1
1668,9
4505,4
130,0
3248,3
992,0
5172,5
7695,7
214,0
5796,5
8510,8
3518,3
3123,3
6941,6
3430,3
6791,6
7574,7
102,0
7810,8
4689,4
5631,5
7537,7
6043,6
4553,4
5712,5
661,0
2916,2
7661,7
5909,5
7141,7
5825,5
7938,7
4825,4
8582,8
2635,2
9665,3
8138,8
8040,8
315,0
5103,5
9355,2
1038,1
58,0
8205,8
2794,2
8470,8
6676,6
9164,9
7331,7
3254,7
2056,2
1418,1
1320,1
9319,9
1022,1
5429,5
5905,5
6697,6
2355,2
9512,2
8915,8
8043,8
5430,5
8280,8
2602,2
9692,9
955,9
3922,3
1612,1
4606,4
856,0
2279,2
4421,4
6192,6
9462,9
9867,9
5713,5
3613,3
6801,6
5636,5
2239,2
313,0
9639,9
663,0
6932,6
1269,1
6599,6
1197,1
252,0
7081,7
8783,8
1290,1
5247,5
4180,4
2349,2
1884,1
6618,6
6499,6
7023,7
2331,2
6602,6
6886,6
2492,2
8648,8
4037,4
6093,6
1850,1
7001,7
2690,0
8628,8
7820,7
4001,4
6916,6
2303,2
6592,6
6049,6
6203,6
5416,5
1419,1
9916,9
2984,2
1839,1
4591,4
4471,4
8796,8
7145,7
7007,7
818,3
4972,4
7711,7
1600,1
3923,6
6721,6
3871,3
7558,7
9457,2
345,0
9225,9
8641,8
2883,2
6952,6
2967,2
7564,7
5523,5
6636,6
385,0
7707,7
4589,4
121,0
3232,3
1499,1
8007,8
6120,6
5879,5
6068,6
9110,9
4414,4
6428,6
4253,4
8145,8
9201,9
2381,2
2959,2
6184,6
2899,2
3703,3
4115,4
7506,7
510,0
8119,8
9927,9
7986,7
7742,7
6715,6
5456,5
6502,6
3924,3
1224,1
2032,2
8157,8
2482,2
7401,7
2358,2
2913,8
3527,4
7452,7
270,0
4982,2
1917,1
7839,7
2977,2
4043,4
6202,6
1317,1
3241,3
387,0
273,0
9467,9
8215,8
9109,9
5170,5
2195,2
8850,8
2254,2
3893,3
91,0
389,0
3480,3
771,3
4355,8
2841,2
7916,7
566,2
9107,2
8828,2
3441,3
5578,5
5462,5
4287,4
1088,1
1348,1
9327,9
7731,7
5005,1
3204,7
8885,8
4350,4
2158,2
8853,4
4613,4
4134,4
4551,4
4879,4
9862,9
1041,1
4147,4
937,0
7965,7
8365,8
3607,3
8230,8
9611,9
982,0
2273,2
747,0
3918,3
4488,4
3822,3
1012,1
7618,7
2104,2
9807,9
5651,5
1919,1
2248,2
1235,1
2302,2
3479,3
8884,8
5036,5
5109,5
4986,4
7654,7
8843,8
9188,9
1945,1
5064,5
7538,7
3580,3
7018,7
508,0
3214,3
6103,6
5502,5
2889,8
862,0
8729,8
5085,5
4443,4
8364,8
1390,1
106,0
8818,8
5607,5
7791,9
6840,6
7088,7
4541,3
7035,7
1820,1
7120,7
6063,6
3869,3
3664,3
8541,8
5251,1
8679,8
21,0
1872,1
8601,8
3553,3
4575,4
243,0
8823,1
3938,3
561,0
2153,2
1595,1
3591,3
9502,9
1458,1
401,0
7202,7
9723,9
1546,1
2182,2
8366,8
4245,4
860,0
1167,1
5135,5
6317,6
8567,8
8673,8
1553,1
3569,3
343,0
1502,1
4486,4
7182,7
4149,4
1288,1
4583,4
6045,6
1897,1
3565,3
5685,5
